Book_ID,Book_name_and_place,Successful?,Time
101,books\Inorganic_Chemistry.pdf,Successful,2025-01-31 20:33:36.503460
102,books\Logic_of_Chemical_Synthesis_Corey_1989_text.pdf,Successful,2025-01-31 20:33:40.245013
103,books\orbitals-and-mechanisms (1).pdf,Successful,2025-01-31 20:33:42.007905
104,books\orbitals-and-mechanisms.pdf,Successful,2025-01-31 20:33:43.736132
105,books\Organic_Chemistry.pdf,Successful,2025-01-31 20:33:47.382606
106,books\pchem11e-student-answers-a4.pdf,Successful,2025-01-31 20:33:49.264941
107,books\Physical_Chemistry.pdf,Successful,2025-01-31 20:33:52.497055
108,books\Physical_Chemistry_a_molecular_approach.pdf,Successful,2025-01-31 20:33:57.362963
109,books\Practice_Problems_Pericyclic.pdf,Successful,2025-01-31 20:33:59.008873
110,"books\PRINCIPLES OF ORGANIC SYNTHESIS, 3RD EDITION ( PDFDrive ).pdf",Successful,2025-01-31 20:34:06.602566
111,books\vdoc.pub_basic-inorganic-chemistry-3rd-edition.pdf,Failed,2025-01-31 20:34:16.743303
